SurveyID,ProjectID,LocationName,Date,Collectors,Longitude,Latitude,SurveyTypeID,Plot Name,SpeciesVarietalCode,SpeciesVarietalName,Measurement,CanopyID,Woody_DBH_cm,Woody_Height_m
6,Heritage Oak Winery,RIP01,3/20/2012,"G. Venicx, K. Swan, M. Vaghti, C. Guillen",-121.2,38.15,Plant,RIP01,ACNE,Acer negundo,1,,6.5,2.57
6,Heritage Oak Winery,RIP01,3/20/2012,"G. Venicx, K. Swan, M. Vaghti, C. Guillen",-121.2,38.15,Plant,RIP01,POFR,Populus fremontii,2,,9.3,5.08
6,Heritage Oak Winery,RIP01,3/20/2012,"G. Venicx, K. Swan, M. Vaghti, C. Guillen",-121.2,38.15,Plant,RIP01,POFR,Populus fremontii,3,,6.5,3.74
6,Heritage Oak Winery,RIP01,3/20/2012,"G. Venicx, K. Swan, M. Vaghti, C. Guillen",-121.2,38.15,Plant,RIP01,POFR,Populus fremontii,4,,7.6,2.68
6,Heritage Oak Winery,RIP01,3/20/2012,"G. Venicx, K. Swan, M. Vaghti, C. Guillen",-121.2,38.15,Plant,RIP01,POFR,Populus fremontii,5,,6.3,3.03
6,Heritage Oak Winery,RIP01,3/20/2012,"G. Venicx, K. Swan, M. Vaghti, C. Guillen",-121.2,38.15,Plant,RIP01,POFR,Populus fremontii,6,,9.9,4.53
6,Heritage Oak Winery,RIP01,3/20/2012,"G. Venicx, K. Swan, M. Vaghti, C. Guillen",-121.2,38.15,Plant,RIP01,FRLA,Fraxinus latifolia,9,,7,4.4
6,Heritage Oak Winery,RIP01,3/20/2012,"G. Venicx, K. Swan, M. Vaghti, C. Guillen",-121.2,38.15,Plant,RIP01,JUHI,Juglans hindsii,1,,12.4,7
6,Heritage Oak Winery,RIP01,3/20/2012,"G. Venicx, K. Swan, M. Vaghti, C. Guillen",-121.2,38.15,Plant,RIP01,QULO,Quercus lobata,21,,18.9,8.1
7,Heritage Oak Winery,RIP02,3/20/2012,"A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,Plant,RIP02,SALA6,Salix lasiolepis,1,,6.5,4.61
7,Heritage Oak Winery,RIP02,3/20/2012,"A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,Plant,RIP02,SALA6,Salix lasiolepis,2,,24,8
7,Heritage Oak Winery,RIP02,3/20/2012,"A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,Plant,RIP02,SALA6,Salix lasiolepis,3,,9,8
7,Heritage Oak Winery,RIP02,3/20/2012,"A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,Plant,RIP02,SALA6,Salix lasiolepis,4,,6.5,8
7,Heritage Oak Winery,RIP02,3/20/2012,"A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,Plant,RIP02,SALA6,Salix lasiolepis,5,,5.3,8
7,Heritage Oak Winery,RIP02,3/20/2012,"A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,Plant,RIP02,SALA6,Salix lasiolepis,6,,5.9,3.5
7,Heritage Oak Winery,RIP02,3/20/2012,"A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,Plant,RIP02,SALA6,Salix lasiolepis,7,,11,4
7,Heritage Oak Winery,RIP02,3/20/2012,"A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,Plant,RIP02,SALA6,Salix lasiolepis,8,,20,5.5
7,Heritage Oak Winery,RIP02,3/20/2012,"A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,Plant,RIP02,SALA6,Salix lasiolepis,9,,5.9,2.3
7,Heritage Oak Winery,RIP02,3/20/2012,"A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,Plant,RIP02,SALA6,Salix lasiolepis,10,,28.3,5
7,Heritage Oak Winery,RIP02,3/20/2012,"A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,Plant,RIP02,SALA6,Salix lasiolepis,11,,5.7,2.76
7,Heritage Oak Winery,RIP02,3/20/2012,"A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,Plant,RIP02,SALA6,Salix lasiolepis,12,,6,2.76
7,Heritage Oak Winery,RIP02,3/20/2012,"A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,Plant,RIP02,SALA6,Salix lasiolepis,13,,10.2,1.8
7,Heritage Oak Winery,RIP02,3/20/2012,"A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,Plant,RIP02,SALA6,Salix lasiolepis,14,,9,1.8
7,Heritage Oak Winery,RIP02,3/20/2012,"A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,Plant,RIP02,SALA6,Salix lasiolepis,15,,10.9,1.8
7,Heritage Oak Winery,RIP02,3/20/2012,"A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,Plant,RIP02,SALA6,Salix lasiolepis,16,,7.2,1.8
7,Heritage Oak Winery,RIP02,3/20/2012,"A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,Plant,RIP02,SALA6,Salix lasiolepis,17,,6.7,1.8
7,Heritage Oak Winery,RIP02,3/20/2012,"A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,Plant,RIP02,SALA6,Salix lasiolepis,18,,8.5,3.78
